,timestamps,emotions
0,1649245858,2
1,1649245888,2
2,1649245918,2
3,1649245948,2
4,1649245978,2
5,1649246008,2
6,1649246038,2
7,1649246068,2
8,1649246098,2
9,1649246128,2
10,1649246158,2
11,1649246188,2
12,1649246218,2
13,1649246248,2
14,1649246278,2
15,1649246308,2
16,1649246338,2
17,1649246368,2
18,1649246398,2
19,1649246428,2
20,1649246458,2
21,1649246488,2
22,1649246518,2
23,1649246548,2
24,1649246578,2
25,1649246608,2
26,1649246638,2
27,1649246668,2
28,1649246698,2
29,1649246728,2
30,1649246758,2
31,1649246788,2
32,1649246818,2
33,1649246848,2
34,1649246878,2
35,1649246908,2
36,1649246938,2
37,1649246968,2
38,1649246998,2
39,1649247028,2
40,1649247058,2
41,1649247088,2
42,1649247118,2
43,1649247148,2
44,1649247178,2
45,1649247208,2
46,1649247238,2
47,1649247268,2
48,1649247298,1
49,1649247328,1
50,1649247358,1
51,1649247388,1
52,1649247418,1
53,1649247448,1
54,1649247478,1
55,1649247508,1
56,1649247538,1
57,1649247568,1
58,1649247598,1
59,1649247628,1
60,1649247658,1
61,1649247688,1
62,1649247718,1
63,1649247748,1
64,1649247778,1
65,1649247808,1
66,1649247838,1
67,1649247868,1
68,1649247898,2
69,1649247928,2
70,1649247958,2
71,1649247988,2
72,1649248018,2
73,1649248048,2
74,1649248078,2
75,1649248108,2
76,1649248138,2
77,1649248168,2
78,1649248198,2
79,1649248228,2
80,1649248258,2
81,1649248288,2
82,1649248318,2
83,1649248348,2
84,1649248378,2
85,1649248408,2
86,1649248438,2
87,1649248468,1
88,1649248498,1
89,1649248528,1
90,1649248558,1
91,1649248588,1
92,1649248618,1
93,1649248648,1
94,1649248678,1
95,1649248708,1
96,1649248738,1
97,1649248768,1
98,1649248798,1
99,1649248828,1
100,1649248858,1
101,1649248888,1
102,1649248918,1
103,1649248948,1
104,1649248978,1
105,1649249008,1
106,1649249038,1
107,1649249068,1
108,1649249098,1
109,1649249128,1
110,1649249158,1
111,1649249188,2
112,1649249218,2
113,1649249248,2
114,1649249278,2
115,1649249308,2
116,1649249338,2
117,1649249368,2
118,1649249398,2
119,1649249428,2
120,1649249458,2
121,1649249488,2
122,1649249518,2
123,1649249548,2
124,1649249578,2
125,1649249608,1
126,1649249638,1
127,1649249668,1
128,1649249698,1
129,1649249728,1
130,1649249758,1
131,1649249788,1
132,1649249818,1
133,1649249848,1
134,1649249878,1
135,1649249908,1
136,1649249938,1
137,1649249968,1
138,1649249998,1
139,1649250028,1
140,1649250058,1
141,1649250088,1
142,1649250118,1
143,1649250148,1
144,1649250178,1
145,1649250208,1
146,1649250238,4
147,1649250268,4
148,1649250298,4
149,1649250328,4
150,1649250358,4
151,1649250388,4
152,1649250418,4
153,1649250448,4
154,1649250478,4
155,1649250508,4
156,1649250538,4
157,1649250568,4
158,1649250598,4
159,1649250628,4
160,1649250658,4
161,1649250688,4
162,1649250718,4
163,1649250748,4
164,1649250778,4
165,1649250808,4
166,1649250838,4
167,1649250868,4
168,1649250898,4
169,1649250928,4
170,1649250958,4
171,1649250988,4
172,1649251018,4
173,1649251048,4
174,1649251078,4
175,1649251108,4
176,1649251138,4
177,1649251168,4
178,1649251198,4
179,1649251228,4
180,1649251258,4
181,1649251288,4
182,1649251318,4
183,1649251348,4
184,1649251378,4
185,1649251408,4
186,1649251438,4
187,1649251468,4
188,1649251498,4
189,1649251528,4
190,1649251558,4
191,1649251588,4
192,1649251618,4
193,1649251648,4
194,1649251678,4
195,1649251708,4
196,1649251738,4
197,1649251768,4
198,1649251798,4
199,1649251828,4
200,1649251858,4
201,1649251888,4
202,1649251918,4
203,1649251948,4
204,1649251978,4
205,1649252008,4
206,1649252038,4
207,1649252068,4
208,1649252098,4
209,1649252128,4
210,1649252158,4
211,1649252188,4
212,1649252218,4
213,1649252248,4
214,1649252278,4
215,1649252308,4
216,1649252338,4
217,1649252368,4
218,1649252398,4
219,1649252428,4
220,1649252458,4
221,1649252488,4
222,1649252518,4
223,1649252548,4
224,1649252578,4
225,1649252608,4
226,1649252638,4
227,1649252668,4
228,1649252698,4
229,1649252728,4
230,1649252758,4
231,1649252788,4
232,1649252818,4
233,1649252848,4
234,1649252878,4
235,1649252908,4
236,1649252938,4
237,1649252968,4
238,1649252998,3
239,1649253028,3
240,1649253058,3
241,1649253088,3
242,1649253118,3
243,1649253148,3
244,1649253178,3
245,1649253208,3
246,1649253238,3
247,1649253268,3
248,1649253298,3
249,1649253328,3
250,1649253358,3
251,1649253388,3
252,1649253418,3
253,1649253448,3
254,1649253478,3
255,1649253508,3
256,1649253538,3
257,1649253568,3
258,1649253598,3
259,1649253628,3
260,1649253658,3
261,1649253688,3
262,1649253718,3
263,1649253748,3
264,1649253778,3
265,1649253808,3
266,1649253838,3
267,1649253868,3
268,1649253898,3
269,1649253928,3
