,TIME(2022/01/27 09:39:32.995),TIMETICK(f=10000000),FPOGX,FPOGY
0,0.0,2269076152699,0.34978,-0.02134
1,0.00822,2269076234852,0.34879,-0.01822
2,0.01407,2269076293313,0.35036,-0.02052
3,0.02071,2269076359667,0.35172,-0.02256
4,0.02664,2269076419127,0.35455,-0.02628
5,0.03328,2269076485410,0.35894,-0.02223
6,0.04008,2269076553580,0.36245,-0.01871
7,0.04666,2269076619197,0.3642,-0.01512
8,0.05315,2269076684102,0.36582,-0.0133
9,0.06055,2269076758051,0.36722,-0.01174
10,0.06819,2269076834568,0.36878,-0.00912
11,0.07417,2269076894441,0.36979,-0.00846
12,0.08093,2269076962008,0.37067,-0.00789
13,0.08769,2269077029648,0.37086,-0.00766
14,0.09422,2269077094821,0.37133,-0.00599
15,0.10114,2269077164045,0.37175,-0.00449
16,0.10757,2269077228345,0.37312,-0.00216
17,0.11571,2269077309701,0.37356,-0.00138
18,0.121,2269077362688,0.37404,-0.00085
19,0.12691,2269077421727,0.37364,-0.00015
20,0.13374,2269077490047,0.37414,0.00159
21,0.14047,2269077557398,0.3746,0.0032
22,0.14723,2269077624927,0.37485,0.00454
23,0.15416,2269077694183,0.37646,0.00365
24,0.16162,2269077768895,0.37793,0.00283
25,0.16747,2269077827377,0.37798,0.0046
26,0.17398,2269077892427,0.37835,0.00448
27,0.18175,2269077970090,0.37869,0.00447
28,0.18909,2269078043477,0.37773,0.00498
29,0.19536,2269078106203,0.37655,0.00533
30,0.20058,2269078158473,0.37534,0.00583
31,0.20871,2269078239802,0.37535,0.00759
32,0.21445,2269078297131,0.37455,0.00839
33,0.22241,2269078376764,0.37387,0.00904
34,0.2282,2269078434587,0.37341,0.00888
35,0.2355,2269078507623,0.37271,0.00973
36,0.24089,2269078561508,0.37204,0.01052
37,0.24846,2269078637212,0.37203,0.01194
38,0.25476,2269078700237,0.37162,0.01126
39,0.26094,2269078762033,0.35148,0.02678
40,0.26836,2269078836297,0.34254,0.02736
41,0.27531,2269078905776,0.33873,0.03215
42,0.28107,2269078963314,0.33651,0.03519
43,0.28781,2269079030796,0.33574,0.0287
44,0.29436,2269079096217,0.3375,0.02199
45,0.30234,2269079175995,0.33893,0.0169
46,0.30939,2269079246573,0.33753,0.01738
47,0.31554,2269079308076,0.33785,0.01508
48,0.32239,2269079376538,0.33789,0.01386
49,0.32951,2269079447739,0.33886,0.01198
50,0.33559,2269079508526,0.33925,0.00892
51,0.34164,2269079569125,0.3393,0.00668
52,0.34796,2269079632298,0.33823,0.00524
53,0.35483,2269079700914,0.33768,0.00507
54,0.36224,2269079775117,0.33751,0.0044
55,0.36816,2269079834307,0.33645,0.00652
56,0.37477,2269079900323,0.33687,0.00381
57,0.38216,2269079974163,0.33713,0.00164
58,0.38857,2269080038331,0.33699,0.00119
59,0.39476,2269080100280,0.33665,-0.00042
60,0.40245,2269080177117,0.33627,-0.00187
61,0.40886,2269080241279,0.33574,-0.00167
62,0.41539,2269080306575,0.33479,-0.00165
63,0.42227,2269080375350,0.33412,-0.00197
64,0.42891,2269080441727,0.33435,-4e-05
65,0.43581,2269080510701,0.33438,-0.00071
66,0.44273,2269080580037,0.33441,-0.00133
67,0.44899,2269080642522,0.33547,-0.00216
68,0.45564,2269080709067,0.33602,-0.0011
69,0.46188,2269080771523,0.33658,-0.00025
70,0.46854,2269080837954,0.3372,0.00011
71,0.4754,2269080906741,0.3374,0.00015
72,0.48224,2269080975048,0.33761,0.00021
73,0.49019,2269081054505,0.33804,0.00011
74,0.49612,2269081113855,0.33782,-0.00031
75,0.50211,2269081173646,0.33746,-0.00049
76,0.51077,2269081260353,0.33759,-0.00014
77,0.51552,2269081307767,0.33762,0.00115
78,0.52396,2269081392239,0.33765,0.00236
79,0.52975,2269081450162,0.33766,0.00131
80,0.53676,2269081520286,0.33745,0.00087
81,0.54417,2269081594376,0.33729,0.00042
82,0.5493,2269081645635,0.33752,0.00089
83,0.5565,2269081717683,0.3378,0.0013
84,0.56282,2269081780933,0.33802,0.00176
85,0.56995,2269081852138,0.33824,0.00224
86,0.57594,2269081912052,0.33831,0.00219
87,0.58252,2269081977910,0.33811,0.00162
88,0.58928,2269082045377,0.33776,0.00173
89,0.59653,2269082117867,0.33793,3e-05
90,0.60428,2269082195415,0.33809,-0.00168
91,0.60931,2269082245748,0.33799,-0.00136
92,0.61691,2269082321790,0.33746,-0.00076
93,0.62373,2269082389973,0.3369,-7e-05
94,0.63025,2269082455121,0.33679,0.00083
95,0.63626,2269082515298,0.33676,0.00201
96,0.64429,2269082595533,0.33675,0.00304
97,0.6514,2269082666585,0.33628,0.00418
98,0.65646,2269082717343,0.33586,0.00555
99,0.66432,2269082795807,0.33559,0.00668
100,0.67047,2269082857381,0.33571,0.00671
101,0.67635,2269082916151,0.33597,0.00631
102,0.68303,2269082982960,0.33617,0.00604
103,0.69014,2269083054027,0.33666,0.00404
104,0.69673,2269083119995,0.33704,0.00491
105,0.70299,2269083182479,0.33746,0.00569
